product_name,price_text,price_min,our_price,markup,url
12ct Lifestyle Classic Sunglasses WCL81,$ 27.99,27.99,47.99,20,https://4aceswholesale.com/product/12ct-lifestyle-classic-sunglasses-wcl81/
12ct Polarized Aluminum Aviator Sunglasses ARAMPOL4,$ 29.99,29.99,49.99,20,https://4aceswholesale.com/product/12ct-polarized-aluminum-aviator-sunglasses-arampol4/
12ct Polarized Classic Unisex Wayfarers Sunglasses W2CFPOLCM,$ 29.99,29.99,49.99,20,https://4aceswholesale.com/product/12ct-polarized-classic-unisex-wayfarers-sunglasses-w2cfpolcm/
12ct Polarized Sport Sunglasses SPTPOL92,$ 35.99,35.99,50.99,15,https://4aceswholesale.com/product/12ct-polarized-sport-sunglasses-sptpol92/
12ct Real Revo Sport Sunglasses SPT33,$ 39.99,39.99,54.99,15,https://4aceswholesale.com/product/12ct-real-revo-sport-sunglasses-spt33/
12ct Real Revo Sport Sunglasses SPT34,$ 54.99,54.99,69.99,15,https://4aceswholesale.com/product/12ct-real-revo-sport-sunglasses-spt34/
12ct Sport Wrap Sunglasses SPT70,$ 27.99,27.99,47.99,20,https://4aceswholesale.com/product/12ct-sport-wrap-sunglasses-spt70/
12ct Sport Wrap Sunglasses SPT76,$ 25.99,25.99,45.99,20,https://4aceswholesale.com/product/12ct-sport-wrap-sunglasses-spt76/
12ct Sport Wrap Sunglasses SPT82,$ 27.99,27.99,47.99,20,https://4aceswholesale.com/product/12ct-sport-wrap-sunglasses-spt82/
12ct Sports Wrap Shield Sunglasses SPT45,$ 25.99,25.99,45.99,20,https://4aceswholesale.com/product/12ct-sports-wrap-shield-sunglasses/
12ct Unisex Aviator Spring Hinge Sunglasses 60799LRV,$ 27.99,27.99,47.99,20,https://4aceswholesale.com/product/12ct-unisex-aviator-spring-hinge-sunglasses-60799lrv/
12ct Unisex Aviator Spring Hinge Sunglasses 60799SD,$ 27.99,27.99,47.99,20,https://4aceswholesale.com/product/12ct-unisex-aviator-spring-hinge-sunglasses-60799sd/
150ct Penley 50pc Matchbooks Matches,$ 100.00,100.0,115.0,15,https://4aceswholesale.com/product/150ct-penley-50pc-matchbooks-matches/
1ml Mini Silicone Stash Jar Assortment 130pk,$ 25.99,25.99,45.99,20,https://4aceswholesale.com/product/1ml-mini-silicone-stash-jar-assortment-130pk/
20ct Acrylic Grinder 45mm Assortment,$ 14.99,14.99,34.99,20,https://4aceswholesale.com/product/20ct-acrylic-grinder-45mm-assortment/
20ct Hamburger Silicone Stash Jar,$ 23.99,23.99,43.99,20,https://4aceswholesale.com/product/20ct-hamburger-silicone-stash-jar/
22″ Tall Standing 8 Ball Spinning Ashtray,$ 17.99,17.99,37.99,20,https://4aceswholesale.com/product/22-tall-standing-8-ball-spinning-ashtray/
23″ Tall Standing High Floor Ashtray,$ 22.99,22.99,42.99,20,https://4aceswholesale.com/product/23-tall-standing-high-floor-ashtray/
24″ Chrome Standing Spinning Ashtray,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/24-chrome-standing-spinning-ashtray/
25ct Honeybee Hunny Pot Silicone Stash Jar,$ 12.99,12.99,32.99,20,https://4aceswholesale.com/product/25ct-honeybee-hunny-pot-silicone-stash-jar/
25ct Mushroom Silicone Stash Jar Assortment,$ 18.99,18.99,38.99,20,https://4aceswholesale.com/product/25ct-mushroom-silicone-stash-jar-assortment/
25ct Utest Drug Test Kit – Choose Drug Tests,$ 49.99,49.99,64.99,15,https://4aceswholesale.com/product/25ct-utest-drug-test-kit-choose-drug-tests/
2ct Silicone Ashtray with Tool Station,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/2ct-silicone-ashtray-with-tool-station/
2ct Silicone Leaf Ashtray with D-Tool,$ 7.99,7.99,27.99,20,https://4aceswholesale.com/product/2ct-silicone-leaf-ashtray-with-d-tool/
30ct Penley 50pc Matchbooks Matches,$ 24.99,24.99,44.99,20,https://4aceswholesale.com/product/30ct-penley-50pc-matchbooks-matches/
33″ Tall Standing Chrome Telescopic Ashtray,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/33-tall-standing-chrome-telescopic-ashtray/
3ct Pringles Safe Can Assortment – Small,$ 23.99,23.99,43.99,20,https://4aceswholesale.com/product/3ct-pringles-safe-can-assortment-small/
4ct King Palm Telescoping Smoke Clips – Gold,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/4ct-king-palm-telescoping-smoke-clips-gold/
50ct Acorn Silicone Stash Jar,$ 15.99,15.99,35.99,20,https://4aceswholesale.com/product/50ct-acorn-silicone-stash-jar/
50ct Cactus Silicone Stash Jar,$ 16.99,16.99,36.99,20,https://4aceswholesale.com/product/50ct-cactus-silicone-stash-jar/
5ct Ashtray Value Pack 3pk,$ 7.99,7.99,27.99,20,https://4aceswholesale.com/product/5ct-ashtray-value-pack-3pk/
5ct Kaloud Lotus Metal Ashtray,$ 11.99,11.99,31.99,20,https://4aceswholesale.com/product/5ct-kaloud-lotus-metal-ashtray/
5ct UV Print Premium Zinc Grinder – 40mm,$ 29.99,29.99,49.99,20,https://4aceswholesale.com/product/5ct-uv-print-premium-zinc-grinder-40mm/
5ct UV Print Premium Zinc Grinder – 50mm,$ 34.99,34.99,49.99,15,https://4aceswholesale.com/product/5ct-uv-print-premium-zinc-grinder-50mm/
5ct UV Print Premium Zinc Grinder – 63mm,$ 49.99,49.99,64.99,15,https://4aceswholesale.com/product/5ct-uv-print-premium-zinc-grinder-63mm/
5ml Silicone Stash Jar Assortment 100pk,$ 29.99,29.99,49.99,20,https://4aceswholesale.com/product/5ml-silicone-stash-jar-assortment-100pk/
6.25″ Green Smoke That Shit – Large Glass Ashtray,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/6-25-green-smoke-that-shit-large-glass-ashtray/
6.25″ Keep On Puffin – Large Glass Ashtray,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/6-25-keep-on-puffin-large-glass-ashtray/
6ct 7 Day Pill Box Container,$ 11.99,11.99,31.99,20,https://4aceswholesale.com/product/6ct-7-day-pill-box-container/
6ct Key Stone Hidden Rock Stash Container,$ 14.99,14.99,34.99,20,https://4aceswholesale.com/product/6ct-key-stone-hidden-rock-stash-container/
BB8 Design 3pc Metal Grinders 6pk,$ 23.99,23.99,43.99,20,https://4aceswholesale.com/product/bb8-design-3pc-metal-grinders-6pk/
BUY 1 GET 1 FREE VSyndicate Grinder Sole Stash – Large (1oz),$ 24.99,24.99,44.99,20,https://4aceswholesale.com/product/v-syndicate-fully-equipped-sole-stash-container-large-1oz/
BUY 1 GET 1 FREE VSyndicate Grinder Sole Stash – Medium (1-2 oz),$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/v-syndicate-fully-equipped-sole-stash-container-medium-1-2-oz/
BUY 1 GET 1 FREE VSyndicate Grinder Sole Stash – Small (1-4 oz),$ 17.99,17.99,37.99,20,https://4aceswholesale.com/product/v-syndicate-fully-equipped-sole-stash-container-small-1-4-oz/
Chromium Crusher Dugout Grinder 6pk,$ 47.99,47.99,62.99,15,https://4aceswholesale.com/product/chromium-crusher-dugout-grinder/
Chromium Crusher Funnel Grinder 6pk – 78mm,$ 54.99,54.99,69.99,15,https://4aceswholesale.com/product/chromium-crusher-funnel-grinder-6pk-78mm/
Clorox Safe Can 1.89L – Large,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/clorox-safe-can-1-89l-large/
Clorox Safe Can 325ml – Small,$ 14.99,14.99,34.99,20,https://4aceswholesale.com/product/clorox-safe-can-325ml-small/
Clorox Safe Can 887ml – Medium,$ 16.99,16.99,36.99,20,https://4aceswholesale.com/product/clorox-safe-can-887ml-medium/
Clorox Wipes Safe Can,$ 13.99,13.99,33.99,20,https://4aceswholesale.com/product/clorox-wipes-safe-can-1/
Cookies 2in1 40mm Grinder with Tray 12pk,$ 29.99,29.99,49.99,20,https://4aceswholesale.com/product/cookies-2in1-40mm-grinder-with-tray-12pk/
Cookies Electric Automatic Metal Grinder 12pk,$ 64.99,64.99,79.99,15,https://4aceswholesale.com/product/cookies-electric-automatic-metal-grinder-12pk/
Fashion Glass Ashtray – Backwoods 6pk,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/fashion-glass-ashtray-backwoods-6pk/
Fashion Glass Ashtray – Cookies 6pk,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/fashion-glass-ashtray-cookies-6pk/
Fashion Glass Ashtray – High Science 6pk,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/fashion-glass-ashtray-high-science-6pk/
Fire Chief Kitchen Matches – Case,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/fire-chief-kitchen-matches-case/
Glass Ashtray – Leaf Designs 6pk,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/glass-ashtray-leaf-designs-6pk/
Glass Ashtray – Saying Designs 6pk,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/glass-ashtray-saying-designs-6pk/
Glass Ashtray – Trippy Vibes 6pk,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/glass-ashtray-trippy-vibes-6pk/
GrinderTray X Cookies Magnet Rolling Tray with Grinder,$ 19.99,19.99,39.99,20,https://4aceswholesale.com/product/grindertray-x-cookies-magnet-rolling-tray-with-grinder/
Hand Muller Cartoon Design 3pc Grinder 12pk,$ 8.99,8.99,28.99,20,https://4aceswholesale.com/product/hand-muller-cartoon-design-3pc-grinder-12pk/
Hidden Storage Sunglasses,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/hidden-storage-sunglasses/
Honeypuff Grinder Multi Cone Filler – King Size,$ 15.99,15.99,35.99,20,https://4aceswholesale.com/product/honeypuff-grinder-multi-cone-filler-king-size/
Integra Boost Humidity Indicator Cards 10pk,$ 4.99,4.99,24.99,20,https://4aceswholesale.com/product/integra-boost-humidity-indicator-cards-10pk/
Integra Boost Kerr Humidity Control Replacement Kit,$ 11.99,11.99,31.99,20,https://4aceswholesale.com/product/integra-boost-kerr-humidity-control-replacement-kit/
Integra Boost Terpene Essentials – 67g – 62% – Beta-Caryophyllene,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/integra-boost-terpene-essentials-67g-62-beta-caryophyllene/
Integra Boost Terpene Essentials – 67g – 62% – Humulene,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/integra-boost-terpene-essentials-67g-62-humulene/
Integra Boost Terpene Essentials – 67g – 62% – Limonene,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/integra-boost-terpene-essentials-67g-62-limonene/
Integra Boost Terpene Essentials – 67g – 62% – Myrcene,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/integra-boost-terpene-essentials-67g-62-myrcene/
Integra Boost Terpene Essentials – 67g – 62% – Pinene,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/integra-boost-terpene-essentials-67g-62-pinene/
Integra Boost Terpene Essentials – 67g – 62% – Terpinolene,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/integra-boost-terpene-essentials-67g-62-terpinolene/
Nusuk Dubai Air Freshener,$ 3.99,3.99,23.99,20,https://4aceswholesale.com/product/nusuk-dubai-air-freshener/
One Love Glass Ashtray – Mushrooms 6pk,$ 11.99,11.99,31.99,20,https://4aceswholesale.com/product/one-love-glass-ashtray-mushrooms-6pk/
Pokeball Grinder 6pk,$ 24.99,24.99,44.99,20,https://4aceswholesale.com/product/pokeball-grinder-6pk/
RAW Prism Glass Ashtray – Dark Side,$ 12.50,12.5,32.5,20,https://4aceswholesale.com/product/raw-prism-glass-ashtray-dark-side/
RAW Prism Glass Ashtray – Rainbow,$ 12.50,12.5,32.5,20,https://4aceswholesale.com/product/raw-prism-glass-ashtray-rainbow/
RAW VanASH Tray Ashtray,$ 9.99,9.99,29.99,20,https://4aceswholesale.com/product/raw-vanash-tray-ashtray/
Raw Ethereal Gold-Plated Stainless Steel Grinder,$ 44.99,44.99,59.99,15,https://4aceswholesale.com/product/raw-ethereal-gold-plated-stainless-steel-grinder/
Round Ceramic Ashtray Assortment 6pk,$ 17.99,17.99,37.99,20,https://4aceswholesale.com/product/round-ceramic-ashtray-assortment-6pk/
Safer Use Supply Natural Wood Pokers – 5.5″ x 2mm,$ 9.99 – $ 89.99 Price range: $9.99 through $89.99,9.99,29.99,20,https://4aceswholesale.com/product/safer-use-supply-natural-wood-pokers-5-5-x-2mm/
Silicone 22ml Round Stash Jars 25pk,$ 61.99,61.99,76.99,15,https://4aceswholesale.com/product/silicone-22ml-round-stash-jars-25pk/
Silicone Heart Shape Stash Jars 38pk,$ 74.99,74.99,89.99,15,https://4aceswholesale.com/product/silicone-heart-shape-stash-jars-38pk/
Silicone Lego Style Block Stash Jars 67pk,$ 73.99,73.99,88.99,15,https://4aceswholesale.com/product/silicone-lego-style-block-stash-jars-67pk/
Simpsons Rubiks Cube Zinc Grinders 6pk,$ 29.99,29.99,49.99,20,https://4aceswholesale.com/product/simpsons-rubiks-cube-zinc-grinders-6pk/
Tribal Scent Glass Tube Air Fresheners 48pk,$ 49.99,49.99,64.99,15,https://4aceswholesale.com/product/tribal-scent-glass-tube-air-fresheners-48pk/
Twist Lid Glitter Ashtray 6pk,$ 11.99,11.99,31.99,20,https://4aceswholesale.com/product/twist-lid-glitter-ashtray-6pk/
UFO 90ml Glass Jar Container,$ 4.99,4.99,24.99,20,https://4aceswholesale.com/product/ufo-90ml-glass-jar-container/
Utest Benzodiazepines Drug Test Kit – Benz 300 ng-mL,$ 2.99,2.99,22.99,20,https://4aceswholesale.com/product/u-test-meth-drug-test-kit-benz-300-ng-ml/
Utest Cocaine Drug Test Kit – COC 300 ng-mL,$ 2.99,2.99,22.99,20,https://4aceswholesale.com/product/u-test-cocaine-drug-test-kit-coc-300-ng-ml/
Utest Methamphetamine Drug Test Kit – mAMP 1000 ng-mL,$ 2.99,2.99,22.99,20,https://4aceswholesale.com/product/u-test-meth-drug-test-kit-meth-1000-ng-ml/
Utest Opiates Drug Test Kit – OPI 2000 ng-mL,$ 2.99,2.99,22.99,20,https://4aceswholesale.com/product/u-test-opiates-drug-test-kit-opi-2000-ng-ml/
V Syndicate Blazin Glass Ashtray – Pink Lemonade,$ 4.99,4.99,24.99,20,https://4aceswholesale.com/product/v-syndicate-blazin-glass-ashtray-pink-lemonade/
V Syndicate Blazin Glass Ashtray – Pussy Vinyl,$ 4.99,4.99,24.99,20,https://4aceswholesale.com/product/v-syndicate-blazin-glass-ashtray-pussy-vinyl/
V Syndicate Blazin Glass Ashtray – T=HC2 Einstein,$ 4.99,4.99,24.99,20,https://4aceswholesale.com/product/v-syndicate-blazin-glass-ashtray-t-hc2-einstein/
V Syndicate Blazin Glass Ashtray – T=HC2 Solar Diesel,$ 4.99,4.99,24.99,20,https://4aceswholesale.com/product/v-syndicate-blazin-glass-ashtray-t-hc2-solar-diesel/
V Syndicate x Mota Rolla Crunch Rolls Grinder Rolling Machine 10pk,$ 44.99,44.99,59.99,15,https://4aceswholesale.com/product/v-syndicate-x-mota-rolla-crunch-rolls-grinder-rolling-machine-10pk/
V-Syndicate Metal Ashtray – Cloud 9 Chameleon,$ 2.99,2.99,22.99,20,https://4aceswholesale.com/product/v-syndicate-metal-ashtray-cloud-9-chameleon/
V-Syndicate Metal Ashtray – THC2 Einstein Classic,$ 2.99,2.99,22.99,20,https://4aceswholesale.com/product/v-syndicate-metal-ashtray-thc2-einstein-classic/
